"nick_name","age","gender","academic_study","ip_address"
37,"41-45","Male","Graduate Degree",2
30,"26-30","Female","High School or Less",2
36,"18-25","Female","Graduate Degree",2
22,"26-30","Male","Graduate Degree",2
29,"18-25","Male","Undergraduate Degree",2
18,"18-25","Female","Undergraduate Degree",2
26,"36-40","Male","Some Undergraduate Courses",4
45,"18-25","Male","Some Undergraduate Courses",2
25,"31-35","Male","Undergraduate Degree",2
11,"18-25","Female","Undergraduate Degree",2
12,"26-30","Male","High School or Less",2
43,"18-25","Male","Undergraduate Degree",2
44,"18-25","Female","Undergraduate Degree",2
38,"18-25","Male","Graduate Degree",2
42,"26-30","Female","Some Graduate Courses",2
41,"18-25","Male","High School or Less",2
21,"18-25","Female","Graduate Degree",2
27,"31-35","Male","Undergraduate Degree",2
17,"18-25","Male","Some Undergraduate Courses",2
15,"26-30","Male","Graduate Degree",2
32,"41-45","Female","Some Undergraduate Courses",2
23,"26-30","Female","Undergraduate Degree",2
35,"36-40","Male","Undergraduate Degree",2
13,"26-30","Female","Undergraduate Degree",2
34,"26-30","Male","Undergraduate Degree",2
39,"41-45","Female","Some Undergraduate Courses",2
46,"18-25","Female","Graduate Degree",2
40,"51-55","Female","Graduate Degree",2
14,"26-30","Female","Some Undergraduate Courses",3
33,"18-25","Male","Undergraduate Degree",2
19,"18-25","Female","Undergraduate Degree",2
31,"31-35","Female","Graduate Degree",2
24,"26-30","Male","Graduate Degree",2
16,"46-50","Male","Graduate Degree",2
20,"26-30","Female","Graduate Degree",2
28,"46-50","Male","Graduate Degree",2
304,"18-25","Female","Undergraduate Degree",2
273,"26-30","Male","Graduate Degree",2
85,"26-30","Male","Some Undergraduate Courses",2
359,"26-30","Male","Undergraduate Degree",2
243,"18-25","Female","Some Undergraduate Courses",2
66,"18-25","Female","Undergraduate Degree",2
371,"18-25","Male","Undergraduate Degree",2
723,"36-40","Male","Graduate Degree",2
626,"26-30","Female","Undergraduate Degree",2
117,"26-30","Male","Graduate Degree",2
646,"18-25","Male","Some Undergraduate Courses",2
379,"26-30","Male","Undergraduate Degree",2
194,"31-35","Female","Undergraduate Degree",2
668,"26-30","Male","Some Undergraduate Courses",2
682,"26-30","Male","Undergraduate Degree",2
373,"56-60","Female","Undergraduate Degree",2
67,"36-40","Male","Undergraduate Degree",2
556,"31-35","Male","Undergraduate Degree",17
735,"51-55","Male","Some Undergraduate Courses",2
209,"31-35","Male","Some Undergraduate Courses",2
542,"36-40","Male","Undergraduate Degree",2
520,"51-55","Female","Undergraduate Degree",2
752,"51-55","Female","Undergraduate Degree",2
459,"31-35","Female","Undergraduate Degree",2
466,"31-35","Female","Some Graduate Courses",13
286,"36-40","Male","Some Graduate Courses",2
659,"18-25","Male","High School or Less",2
256,"26-30","Female","Undergraduate Degree",2
191,"31-35","Male","Some Undergraduate Courses",2
673,"31-35","Male","Some Graduate Courses",2
179,"26-30","Male","Undergraduate Degree",2
285,"26-30","Male","Graduate Degree",2
608,"36-40","Male","Graduate Degree",2
528,"41-45","Female","Undergraduate Degree",2
365,"18-25","Male","Some Undergraduate Courses",2
437,"26-30","Male","Undergraduate Degree",2
149,"26-30","Female","Graduate Degree",2
173,"18-25","Male","Undergraduate Degree",2
221,"46-50","Male","Undergraduate Degree",2
361,"18-25","Male","Undergraduate Degree",2
714,"26-30","Female","Graduate Degree",2
521,"36-40","Female","Undergraduate Degree",2
267,"31-35","Male","Graduate Degree",2
274,"26-30","Male","Undergraduate Degree",2
403,"18-25","Female","Undergraduate Degree",2
73,"41-45","Female","Undergraduate Degree",2
705,"26-30","Male","Undergraduate Degree",2
98,"31-35","Female","Undergraduate Degree",2
389,"26-30","Male","High School or Less",10
54,"36-40","Male","Graduate Degree",2
456,"18-25","Male","Some Graduate Courses",2
206,"18-25","Male","Graduate Degree",2
545,"18-25","Male","Some Undergraduate Courses",2
50,"41-45","Male","High School or Less",2
